GM12878	K562	deltaActual	expressed_at	class	gene_id
1.99300833891493	-0.935542010773082	-2.92855034968801	GM12878	0	ENSG00000000938
-0.991399828238082	1.61913508770402	2.6105349159421	K562	1	ENSG00000000971
1.0511911246857	-1	-2.0511911246857	GM12878	0	ENSG00000001561
-0.826813731587726	0.234010817587179	1.06082454917491	K562	1	ENSG00000001617
0.190611797813605	-0.978810700930062	-1.16942249874367	GM12878	0	ENSG00000001626
1.16625245195416	0.0595634179012677	-1.10668903405289	GM12878	0	ENSG00000003096
-0.876148359032914	1.83132576608998	2.70747412512289	K562	1	ENSG00000003436
-0.97061622231479	0.527887565952705	1.49850378826749	K562	1	ENSG00000004399
1.28936595152003	-0.943095148663527	-2.23246110018356	GM12878	0	ENSG00000004468
1.48139962691982	0.268109729808478	-1.21328989711135	GM12878	0	ENSG00000005059
0.846398973034675	-1	-1.84639897303467	GM12878	0	ENSG00000005102
1.15433266124231	2.42653403276288	1.27220137152058	K562	1	ENSG00000005187
-0.790484985457369	2.1065036670884	2.89698865254577	K562	1	ENSG00000005249
2.2071952738198	1.16613397030511	-1.04106130351469	GM12878	0	ENSG00000005302
0.922465945298413	-0.181774106386044	-1.10424005168446	GM12878	0	ENSG00000005469
0.26881190373978	-0.910094888560602	-1.17890679230038	GM12878	0	ENSG00000005471
1.53970323894783	-0.920818753952375	-2.4605219929002	GM12878	0	ENSG00000005844
0.282168778304642	-0.860120913598763	-1.1422896919034	GM12878	0	ENSG00000005884
-0.866461091629782	0.644733927447192	1.51119501907697	K562	1	ENSG00000005961
-0.673664139071249	1.89488072143187	2.56854486050311	K562	1	ENSG00000006042
2.55726773256691	-0.97061622231479	-3.5278839548817	GM12878	0	ENSG00000006075
-0.160521952625802	1.40052072087838	1.56104267350418	K562	1	ENSG00000006327
-1	0.194236748723829	1.19423674872383	K562	1	ENSG00000006606
-0.958607314841775	0.564073978977147	1.52268129381892	K562	1	ENSG00000006638
0.758078822249613	-1	-1.75807882224961	GM12878	0	ENSG00000006659
-0.394694953858891	0.724275869600789	1.11897082345968	K562	1	ENSG00000006704
-0.954677021213343	1.97196201135198	2.92663903256532	K562	1	ENSG00000007038
0.656481515790499	-0.823908740944319	-1.48039025673482	GM12878	0	ENSG00000007129
1.26052453584223	-0.995678626217357	-2.25620316205958	GM12878	0	ENSG00000007237
0.0655797147284484	1.34674405460485	1.2811643398764	K562	1	ENSG00000007264
1.80607817428457	-0.665546248849069	-2.47162442313364	GM12878	0	ENSG00000007312
-0.954677021213343	0.648652695131223	1.60332971634457	K562	1	ENSG00000007384
-0.906578314837765	0.102776614883441	1.00935492972121	K562	1	ENSG00000007516
-0.958607314841775	0.722551662000958	1.68115897684273	K562	1	ENSG00000007866
1.21516150829488	-0.570247719997592	-1.78540922829247	GM12878	0	ENSG00000008277
0.0211892990699381	1.03762566991472	1.01643637084478	K562	1	ENSG00000008283
0.778368343355874	-0.935542010773082	-1.71391035412896	GM12878	0	ENSG00000008311
1.43042983179988	-0.903089986991944	-2.33351981879182	GM12878	0	ENSG00000008517
0.985201858364572	-0.26440110030182	-1.24960295866639	GM12878	0	ENSG00000008853
1.46862790626157	-0.958607314841775	-2.42723522110334	GM12878	0	ENSG00000009790
-1	0.0515383905153275	1.05153839051533	K562	1	ENSG00000009950
0.491081413423187	-0.835647144215563	-1.32672855763875	GM12878	0	ENSG00000010295
1.76534066158987	0.316389751073195	-1.44895091051667	GM12878	0	ENSG00000010810
1.09373678456234	-0.000434511774017692	-1.09417129633636	GM12878	0	ENSG00000010818
-0.821023052706831	0.396373727536507	1.21739678024334	K562	1	ENSG00000011028
0.464489547433971	-1	-1.46448954743397	GM12878	0	ENSG00000011201
-0.381951903287907	0.951531790542348	1.33348369383026	K562	1	ENSG00000011566
1.07551046452441	-0.987162775294828	-2.06267323981924	GM12878	0	ENSG00000011590
-1	0.714916247993585	1.71491624799358	K562	1	ENSG00000011600
-0.896196279044043	0.394801777162711	1.29099805620675	K562	1	ENSG00000011677
2.0461477459064	0.146438135285775	-1.89970961062063	GM12878	0	ENSG00000012124
0.634376494088368	-0.892790030352132	-1.5271665244405	GM12878	0	ENSG00000013016
1.41652401426865	-0.148130399270234	-1.56465441353889	GM12878	0	ENSG00000013364
-1	0.0993352776859578	1.09933527768596	K562	1	ENSG00000013583
0.103803720955957	-0.987162775294828	-1.09096649625078	GM12878	0	ENSG00000015592
0.536432175822014	-0.619788758288394	-1.15622093411041	GM12878	0	ENSG00000018408
-0.954677021213343	0.437274797410124	1.39195181862347	K562	1	ENSG00000019144
2.52266588883011	-0.832682665251824	-3.35534855408194	GM12878	0	ENSG00000019582
1.19226071864204	-0.924453038607469	-2.11671375724951	GM12878	0	ENSG00000020633
0.216693599169754	1.71111517993313	1.49442158076338	K562	1	ENSG00000021355
-0.995678626217357	0.04766419460156	1.04334282081892	K562	1	ENSG00000021762
-0.0357403698031511	1.37123415597655	1.40697452577971	K562	1	ENSG00000022556
1.08689347130946	-1	-2.08689347130946	GM12878	0	ENSG00000023171
2.45384865059304	-0.667561540084395	-3.12141019067744	GM12878	0	ENSG00000023445
-0.987162775294828	0.829753918924975	1.8169166942198	K562	1	ENSG00000024422
0.920071124297524	-0.809668301829709	-1.72973942612723	GM12878	0	ENSG00000025039
0.888628725385226	-0.489454989793388	-1.37808371517861	GM12878	0	ENSG00000025708
1.70103234159194	-0.935542010773082	-2.63657435236502	GM12878	0	ENSG00000026103
2.13318749864117	-1	-3.13318749864117	GM12878	0	ENSG00000026751
