Accession	baseMean	mean_leaf_norm	mean_root_norm	foldChange	b	pval	qval
AT1G01010.1	396.526725506059	88.5377038670056	706.515747145112	7.97982911558656	2.99635785211986	8.48336343476156e-31	7.37609712299549e-30
AT1G01020.1	21.3094870711664	24.5366596139948	20.0823145283381	0.81846163431651	-0.289013303451911	0.835646875103732	0.947146660194762
AT1G01020.2	339.643795722494	365.39053459636	315.897056848627	0.864546360506006	-0.209984765746494	0.414065177010039	0.566680712352017
AT1G01030.1	116.235359428443	210.232003550893	24.2387153059931	0.115295078278248	-3.11659716641733	2.34102695849401e-11	1.04229298707284e-10
AT1G01040.1	924.258391729146	1350.18067081481	500.336112643485	0.37056974926292	-1.43218298030486	4.75045394191188e-05	0.000135754128619842
AT1G01040.2	185.451832333212	287.596289790769	85.3073748756549	0.296621958988822	-1.75330269011031	0.270788751098707	0.40039212049591
AT1G01050.1	1649.10021461009	1078.07963136363	2222.12079785654	2.06118428844245	1.04347350057634	3.85078996781371e-15	2.04203795239632e-14
AT1G01060.3	5.84820046035016	1	12.6964009207003	12.6964009207003	3.66634768560644	0.193975310183114	0.302741204352314
AT1G01060.4	2941.11115321096	1854.2904527184	4029.93185370352	2.17330130120425	1.1198882001151	2.31905122341006e-18	1.39672085460389e-17
AT1G01060.5	22.3681472612926	5.17033749400859	41.5659570285766	8.03931214872209	3.00707206830969	0.00308284524086371	0.00707879208461535
AT1G01060.1	1518.4096187566	876.161711313346	2162.65752619985	2.46833147154773	1.30353614661341	1.39493319868627e-20	9.07279303571734e-20
AT1G01060.2	206.402496586327	71.0864693889369	343.718523783718	4.83521726058898	2.27358071570673	0.0134634720605665	0.0277568724712352
AT1G01070.1	371.447522157485	67.1034062830912	677.79163803188	10.1007039072273	3.33638393123868	1.24967531366005e-34	1.19152101618057e-33
AT1G01070.2	11.8982628658641	4.57339444447962	21.2231312872485	4.64056436524214	2.2143002703149	0.105190890057704	0.178450303224361
AT1G01080.1	1792.31143894018	3358.2084484286	228.414429451761	0.0680167514790937	-3.87796608606531	4.06052763693597e-151	1.73507414486178e-149
AT1G01080.2	15.9741370803169	30.2748110930452	3.67346306758864	0.121337274617463	-3.04290528272257	0.00798512509897872	0.0171551295044545
AT1G01090.1	4784.66234694082	7130.09662845302	2441.22806542862	0.342383587858652	-1.54631454701051	2.05100255041284e-54	2.96819553585816e-53
AT1G01100.1	3909.78830178628	875.497056170965	6946.07954740159	7.93386967830669	2.98802469997818	6.40113355610737e-05	0.000180323397150058
AT1G01100.2	10893.2678986188	6710.38153954645	15078.1542576911	2.24698911214372	1.16799313391065	9.60418109302535e-16	5.21739345928401e-15
AT1G01100.4	67.1059116497298	11.911716965596	124.300106333864	10.435112477309	3.38337424589602	0.000126916601728974	0.000346762295233757
AT1G01100.3	535.210246968952	463.248106542561	609.172387395343	1.31500243345166	0.395065469270732	0.753660667598291	0.885977563086136
AT1G01110.1	43.7809403395653	65.5687414616583	23.9931392174722	0.36592343672636	-1.45038627427439	0.0324637278634165	0.0621835296900113
AT1G01110.2	42.1925959984238	63.6030076722752	22.7821843245723	0.358193506224756	-1.48118891228784	0.0551981845355828	0.100660435916052
AT1G01120.1	6286.13299523172	7938.92083799817	4635.34515246527	0.583875975973844	-0.776266143332974	1.52558266831791e-13	7.53510222868807e-13
AT1G01130.1	35.3304031626	32.8062379820093	39.8545683431908	1.21484726060473	0.280774939164451	0.702300001835453	0.844056049833456
AT1G01140.3	0.974562121221716	2.94912424244343	1	0.339083713601524	-1.56028660238653	0.644621579026133	0.794212740033675
AT1G01140.1	2615.54700935324	5055.52279605563	177.571222650844	0.035124205708139	-4.83139058889342	4.6444780624426e-266	4.23678160330965e-264
AT1G01160.2	41.7862159457577	49.9188126215228	35.6536192699925	0.714232118065649	-0.485535083433038	0.469998935324958	0.626517339490929
AT1G01160.1	291.161966271395	258.431542852712	325.892389690079	1.2610395236305	0.334613493471159	0.248796716178469	0.373307616965871
AT1G01170.2	22.5953829074897	46.1907658149794	1	0.0216493487898766	-5.52953256028441	0.0130183626803283	0.0269109693216844
AT1G01170.1	466.878965394903	819.762618121574	115.995312668233	0.141498660836753	-2.82113969563457	2.4283436011644e-32	2.18027255868991e-31
AT1G01180.1	350.999565576599	227.201674685367	476.797456467832	2.0985648857039	1.06940307072254	3.24565346378165e-05	9.44721665647658e-05
AT1G01190.1	117.901312209851	61.4555704496776	176.347053970025	2.86950479313222	1.52080178424045	0.000415360847607741	0.00107079808891493
AT1G01200.1	129.144342936832	59.6790742367483	200.609611636916	3.36147325008918	1.74909366894556	2.41830826959379e-05	7.14340195152431e-05
AT1G01210.1	153.759299346098	99.3418262957671	210.176772396429	2.11569265669303	1.08113006465919	0.00364255258394687	0.00826276031899245
AT1G01220.1	620.325923741583	854.580077417948	388.071770065217	0.454108140734743	-1.13889219489594	7.89753116426212e-09	3.04635140229733e-08
AT1G01225.1	120.055707829884	85.2152511828578	156.89616447691	1.84117469935325	0.880626522903426	0.0346728810245666	0.0659869790947491
AT1G01230.1	853.821302344217	729.732569361069	979.910035327365	1.34283445260686	0.425281457315977	0.0123520271558674	0.025633080828602
AT1G01240.3	240.730069861668	343.241400108619	140.218739614717	0.408513482261594	-1.29154440214439	1.5494037286327e-05	4.65164889408773e-05
AT1G01240.1	327.599010379285	532.608642102417	124.589378656153	0.233922938547053	-2.09589475519166	7.50178960335243e-15	3.92683135668714e-14
AT1G01240.2	278.65806936868	407.523542453615	151.792596283746	0.372475649798866	-1.42478198089024	4.74780031138561e-07	1.61433164184114e-06
AT1G01250.1	67.8148137388747	134.716673918252	2.91295355949734	0.0216228138267796	-5.53130191324269	3.90310708483046e-15	2.06809271626479e-14
AT1G01260.2	179.890087447922	316.410515918974	45.3696589768696	0.143388593912877	-2.8019978278894	1.46274052340936e-13	7.23571949698691e-13
AT1G01260.1	999.958563128814	1258.7453600609	743.171766196725	0.590406757217972	-0.760218861718945	1.72682320092484e-06	5.62699011138213e-06
AT1G01260.3	184.925444985967	255.951152997615	115.899736974319	0.452819749459769	-1.14299121307287	0.00466074012548408	0.0103911530670806
AT1G01290.1	199.7715981342	188.640811958768	212.902384309631	1.12861253139732	0.174550273554019	0.630369325586465	0.782330563244562
AT1G01290.2	297.090028422816	327.10107005827	269.078986787362	0.822617262424205	-0.281706748125064	0.335303295216361	0.478173832432431
AT1G01300.1	1439.83006948149	2366.07854641939	515.581592543586	0.217905526984225	-2.19822530526416	1.41359879374059e-51	1.93535500955842e-50
AT1G01320.1	5084.87665860252	9914.23802265988	257.515294545164	0.0259742901024355	-5.26677187008475	0	0
AT1G01320.2	888.886584018427	1722.65340575884	57.1197622780141	0.0331580119872415	-4.91449867818007	7.07870933659684e-126	2.41471728682755e-124
AT1G01340.2	387.734064024236	78.9484435698488	698.519684478623	8.84779550923781	3.1453180423066	6.4859586692999e-33	5.92493692786256e-32
AT1G01340.1	33.3914269916286	1	67.7828539832572	67.7828539832572	6.08284847736889	2.57828939402393e-06	8.28189397338548e-06
AT1G01350.1	466.055243538199	465.304529451495	468.805957624903	1.00752502490688	0.010815672858144	0.884280692142845	0.9764332487161
AT1G01360.1	555.735325025528	414.036719159971	699.433930891085	1.68930410884848	0.756429065755953	0.000192266827380405	0.000515894011334268
AT1G01370.1	22.0388911477505	7.49708080814477	38.5807014873562	5.14609652405539	2.36347851759835	0.0207216594407092	0.0413300509972382
AT1G01370.2	157.488944468828	100.353590643214	216.624298294443	2.15861033876312	1.11010283897397	0.00189849090860685	0.00448552144467132
AT1G01380.1	43.500248567642	27.7972972632183	61.2031998720657	2.20176800976441	1.13866246672506	0.0942387973119408	0.16195189409458
AT1G01390.1	203.780550925203	403.346361636979	6.21474021342754	0.0154079491090611	-6.02018134655252	1.78197166259752e-43	2.08463723857544e-42
AT1G01420.1	274.948346277524	477.63184034688	74.2648522081671	0.155485555892238	-2.68514753003323	3.49542852632294e-19	2.16919628114537e-18
AT1G01430.1	2407.42370766276	3997.0598756106	819.787539714922	0.205097638070705	-2.28561721722514	2.17407893955191e-77	4.34481314227374e-76
AT1G01440.1	555.178307434564	647.267923259122	465.088691610005	0.718541232922823	-0.476857147910454	0.0160402402193143	0.0326669259452046
AT1G01453.1	152.358463421274	1.72419437481565	304.992732467732	176.889993914022	7.4667086315911	6.39485350005365e-40	6.83359221501291e-39
AT1G01453.2	4.30256683114273	1	9.60513366228546	9.60513366228546	3.26380569016094	0.0872356302299916	0.151092111558345
